episode,qmax
1,-0.0256529338657856
2,-0.03210150822997093
3,-0.031224891543388367
4,-0.028099045157432556
5,0.3504977822303772
6,0.5683609843254089
7,1.0705775022506714
8,1.7175679206848145
9,1.8252677917480469
10,1.2816423177719116
11,1.8460637331008911
12,1.5093908309936523
13,1.5300254821777344
14,2.006056785583496
15,1.6686311960220337
16,1.7352221012115479
17,1.7969021797180176
18,1.8226759433746338
19,2.211294412612915
20,2.1890647411346436
21,1.9714016914367676
22,2.2172560691833496
23,2.078202724456787
24,2.3386642932891846
25,2.296532392501831
26,2.3435161113739014
27,2.393852472305298
28,2.4805140495300293
29,2.6234471797943115
30,2.515185832977295
31,2.6423959732055664
32,2.7135448455810547
33,2.7292263507843018
34,2.8086743354797363
35,2.9296915531158447
36,2.818920850753784
37,3.0188357830047607
38,2.9787728786468506
39,3.0649189949035645
40,3.198803424835205
41,3.2440025806427
42,3.310499668121338
43,3.4345405101776123
44,3.6030852794647217
45,3.7203164100646973
46,3.942430019378662
47,4.0508952140808105
48,4.823489665985107
49,4.9442949295043945
50,5.2406005859375
51,5.387899398803711
52,5.369891166687012
53,5.564131259918213
54,6.043492794036865
55,6.0909295082092285
56,6.540891170501709
57,6.268692970275879
58,6.533526420593262
59,6.817699909210205
60,6.965771675109863
61,6.923919677734375
62,7.000778675079346
63,8.034406661987305
64,7.679563522338867
65,8.021408081054688
66,8.357243537902832
67,9.378523826599121
68,9.124138832092285
69,11.114115715026855
70,10.394049644470215
71,10.730419158935547
72,11.930752754211426
73,12.48664379119873
74,13.498929977416992
75,13.951041221618652
76,14.417863845825195
77,14.628402709960938
78,16.329730987548828
79,16.423555374145508
80,17.574499130249023
81,18.18094253540039
82,19.2269287109375
83,19.805953979492188
84,20.38266372680664
85,21.472583770751953
86,23.17082977294922
87,24.15362548828125
88,25.419923782348633
89,25.622343063354492
90,25.69209098815918
91,27.35201072692871
92,28.182357788085938
93,28.88629913330078
94,30.614421844482422
95,31.243324279785156
96,31.956008911132812
97,31.945253372192383
98,33.17237854003906
99,33.859615325927734
100,34.53233337402344
101,34.69973373413086
102,36.25181198120117
103,36.97884750366211
104,37.03373336791992
105,38.530601501464844
106,38.97216033935547
107,39.449161529541016
108,39.75239562988281
109,40.517147064208984
110,40.1293830871582
111,40.90457534790039
112,41.85786437988281
113,41.972938537597656
114,42.25431442260742
115,43.322669982910156
116,42.47594451904297
117,42.966346740722656
118,43.74485397338867
119,44.305458068847656
120,43.96699905395508
121,44.871761322021484
122,45.328243255615234
123,44.915061950683594
124,45.89944076538086
125,46.10222244262695
126,46.007484436035156
127,46.89597702026367
128,47.16363525390625
129,47.03398895263672
130,47.58106994628906
131,48.231903076171875
132,48.710140228271484
133,48.44562911987305
134,48.99051284790039
135,49.11102294921875
136,49.42057800292969
137,49.92723083496094
138,50.25517654418945
139,50.52091979980469
140,51.00188064575195
141,51.14277267456055
142,51.09419250488281
143,51.43745803833008
144,51.82096862792969
145,51.89991760253906
146,52.35711669921875
147,52.96778106689453
148,53.18212127685547
149,53.21764373779297
150,53.68419647216797
151,53.95319366455078
152,54.05917739868164
153,54.334232330322266
154,54.68465805053711
155,55.18335723876953
156,55.303382873535156
157,55.6869010925293
158,55.82120132446289
159,56.330162048339844
160,56.65730285644531
161,57.11366653442383
162,57.49870681762695
163,57.597347259521484
164,58.01961135864258
165,58.31074905395508
166,58.52999496459961
167,59.0999755859375
168,59.32933807373047
169,59.64372634887695
170,60.02989196777344
171,60.651268005371094
172,60.82410430908203
173,61.026058197021484
174,61.33273696899414
175,61.53928756713867
176,62.21759796142578
177,62.33515167236328
178,62.93848419189453
179,63.16395950317383
180,63.57786178588867
181,63.974082946777344
182,64.6551742553711
183,64.62638854980469
184,65.09142303466797
185,65.49353790283203
186,65.94355010986328
187,66.26590728759766
188,66.54048919677734
189,66.74077606201172
190,67.04143524169922
191,67.4708023071289
192,67.71293640136719
193,68.27179718017578
194,68.6881332397461
195,70.22064971923828
196,70.69373321533203
197,71.12913513183594
198,71.82368469238281
199,71.67321014404297
200,72.34637451171875
201,72.69328308105469
202,72.444580078125
203,72.76371002197266
204,73.29969787597656
205,73.58252716064453
206,73.27864074707031
207,74.04203033447266
208,74.4083023071289
209,74.63771057128906
210,74.43970489501953
211,74.61067962646484
212,74.97144317626953
213,76.54957580566406
214,76.69921875
215,76.82280731201172
216,77.13529205322266
217,77.81517791748047
218,78.40137481689453
219,79.05897521972656
220,79.79647827148438
221,80.4921875
222,81.013671875
223,81.66413116455078
224,82.1274642944336
225,82.55303192138672
226,83.14437866210938
227,83.486083984375
228,83.7756576538086
229,84.13032531738281
230,84.54977416992188
231,84.8992919921875
232,85.34840393066406
233,85.80509948730469
234,86.17123413085938
