episode,return,loss
1,-21.0,-0.0014435750199481845
2,-20.0,0.0011045555584132671
3,-20.0,0.0009022901649586856
4,-21.0,0.0002468974271323532
5,-21.0,-0.00024422345450147986
6,-21.0,-0.00018532969988882542
7,-20.0,-0.0004062781226821244
8,-21.0,-0.000949771492742002
9,-19.0,0.0006937244907021523
10,-21.0,-0.001288802595809102
11,-21.0,0.000288057082798332
12,-18.0,-0.0006221585790626705
13,-21.0,3.262536120018922e-05
14,-21.0,-0.0014792629517614841
15,-21.0,-0.00289380201138556
16,-21.0,-0.004980204626917839
17,-21.0,0.0022827680222690105
18,-20.0,-0.004604564979672432
19,-20.0,0.0007111580343917012
20,-19.0,-0.004165754187852144
21,-21.0,0.0008042913395911455
22,-20.0,0.005429076496511698
23,-21.0,-0.0007622586563229561
24,-21.0,-0.0014498492237180471
25,-21.0,-0.005374264437705278
26,-21.0,0.0024349666200578213
27,-21.0,-0.001574885449372232
28,-21.0,0.0005936238449066877
29,-20.0,0.005135641433298588
30,-20.0,0.0033904758747667074
31,-21.0,-0.0037633178289979696
32,-21.0,-0.004666411317884922
33,-21.0,0.0018546928185969591
34,-20.0,0.0014413670869544148
35,-21.0,-0.0022011124528944492
36,-19.0,0.004533438012003899
37,-19.0,0.007844126783311367
38,-21.0,0.005610805470496416
39,-20.0,0.004698385018855333
40,-21.0,-0.0028226771391928196
41,-21.0,0.0037598859053105116
42,-19.0,-0.003654703265056014
43,-21.0,-0.0019013710552826524
44,-19.0,0.006148256827145815
45,-19.0,-0.0004742141754832119
46,-20.0,-0.005334984511137009
47,-21.0,-0.005745530594140291
48,-21.0,-0.0053458139300346375
49,-19.0,0.005278271622955799
50,-19.0,0.0032491544261574745
51,-21.0,-0.0011538306716829538
52,-19.0,0.0014768227702006698
53,-21.0,0.0024911914952099323
54,-21.0,-0.007476583123207092
55,-21.0,-0.0030063942540436983
56,-20.0,0.0019655567593872547
57,-21.0,0.0031338536646217108
58,-20.0,0.0007018150063231587
59,-19.0,0.0016544269165024161
60,-21.0,-0.0004822301270905882
61,-20.0,-0.000468929938506335
62,-21.0,-0.00677751749753952
63,-21.0,-0.002311516785994172
64,-20.0,-0.0013119684299454093
65,-20.0,4.121382153243758e-05
66,-21.0,0.0015105877537280321
67,-21.0,0.0010449710534885526
68,-20.0,0.0041648405604064465
69,-20.0,0.003388682147487998
70,-21.0,-0.007365487050265074
71,-21.0,9.163062350125983e-05
72,-20.0,0.004399541299790144
73,-19.0,-0.0012062552850693464
74,-21.0,0.0038968557491898537
75,-19.0,-0.0014686471549794078
76,-21.0,-0.005849816836416721
77,-20.0,-0.0015902238665148616
78,-21.0,-0.0014517854433506727
79,-21.0,0.0028331296052783728
80,-21.0,-0.0012223523808643222
81,-20.0,0.0006626094691455364
82,-20.0,0.00257527525536716
83,-20.0,-0.0008587782504037023
84,-21.0,0.0011060342658311129
85,-20.0,7.330236257985234e-05
86,-20.0,0.0008804885437712073
87,-21.0,-0.0025176359340548515
88,-21.0,0.0067550973035395145
89,-21.0,0.005473108496516943
90,-21.0,-0.00033686551614664495
91,-21.0,0.003146640956401825
92,-21.0,-0.002549785189330578
93,-21.0,-0.0008924728026613593
94,-21.0,0.0012181421043351293
95,-21.0,0.002446519210934639
96,-18.0,0.002659610938280821
97,-20.0,0.001424562418833375
98,-21.0,-0.003687127260491252
99,-20.0,-0.002576633356511593
100,-21.0,0.0019119217758998275
101,-20.0,-0.0024804123677313328
102,-20.0,-0.0022674608044326305
103,-20.0,0.0016150675946846604
104,-21.0,-0.001955738989636302
105,-19.0,0.0050664423033595085
106,-21.0,-0.0036374363116919994
107,-20.0,-0.0006377421668730676
108,-21.0,-0.0008800752693787217
109,-21.0,0.00012347011943347752
110,-20.0,0.005478338338434696
111,-21.0,0.00041235319804400206
112,-20.0,0.0007278210250660777
113,-19.0,-0.0019319691928103566
114,-21.0,-0.003270844928920269
115,-21.0,-0.0024311430752277374
116,-21.0,0.0015763030387461185
117,-21.0,0.000429069681558758
118,-20.0,-0.000408773630624637
119,-20.0,0.002780494512990117
120,-21.0,-0.0006618607440032065
121,-21.0,-0.0010595452040433884
122,-21.0,0.001805303618311882
123,-20.0,0.0010289892088621855
124,-18.0,-0.0001329884398728609
125,-18.0,0.001691231387667358
126,-21.0,0.0004489793791435659
127,-19.0,0.0007625741418451071
128,-21.0,-0.0008596385014243424
129,-21.0,-0.0029099031817167997
130,-20.0,-0.0017678409349173307
131,-20.0,-0.0012763093691319227
132,-21.0,-0.0006133656715974212
133,-20.0,0.00420200452208519
134,-20.0,-0.0022248653694987297
135,-20.0,0.0009913892718032002
136,-21.0,0.0025556194595992565
137,-21.0,-0.0015977517468854785
138,-18.0,0.0018370301695540547
139,-21.0,-0.005019259639084339
140,-21.0,-0.0033818669617176056
141,-21.0,-0.00818537175655365
142,-20.0,0.0019322207663208246
143,-21.0,-0.0012908265925943851
144,-21.0,0.00716687086969614
145,-21.0,0.0012847798643633723
146,-20.0,-0.0020410134457051754
147,-20.0,-4.185362558928318e-05
148,-19.0,0.001454655546694994
149,-21.0,-0.0005180825246497989
